Rank,Title,Artist,Album
1,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night
2,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)'
3,Drama,aespa,Drama - The 4th Mini Album
4,To. X,태연 (TAEYEON),To. X - The 5th Mini Album
5,Baddie,IVE (아이브),I'VE MINE
6,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
7,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
8,헤어지자 말해요,박재정,1집 Alone
9,인사,범진,인사
10,Do or Die,임영웅,Do or Die
11,모래 알갱이,임영웅,모래 알갱이
12,Love Lee,AKMU (악뮤),Love Lee
13,우리들의 블루스,임영웅,IM HERO
14,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
15,다시 만날 수 있을까,임영웅,IM HERO
16,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me]
17,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
18,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
19,후라이의 꿈,AKMU (악뮤),Love Lee
20,무지개,임영웅,IM HERO
21,London Boy,임영웅,Polaroid
22,Standing Next to You,정국,GOLDEN
23,Polaroid,임영웅,Polaroid
24,아버지,임영웅,IM HERO
25,인생찬가,임영웅,IM HERO
26,I AM,IVE (아이브),I've IVE
27,비의 랩소디,임재현,비의 랩소디
28,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition)
29,A bientot,임영웅,IM HERO
30,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album
31,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
32,Santa Tell Me,Ariana Grande,Santa Tell Me
33,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯
34,Ditto,NewJeans,NewJeans 'OMG'
35,크리스마스니까,성시경,Jelly Christmas 2012 HEART PROJECT
36,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
37,연애편지,임영웅,IM HERO
38,Either Way,IVE (아이브),I'VE MINE
39,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
40,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
41,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real
42,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오,스트릿 우먼 파이터2(SWF2) 계급미션
43,에피소드,이무진,에피소드
44,Get A Guitar,RIIZE,Get A Guitar
45,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
46,Last Christmas,Ariana Grande,Christmas Kisses
47,퀸카 (Queencard),(여자)아이들,I feel
48,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album
49,Merry PLLIstmas,PLAVE,Merry PLLIstmas
50,Fast Forward,전소미,GAME PLAN
51,Off The Record,IVE (아이브),I'VE MINE
52,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
53,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN'
54,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
55,잠시라도 우리,성시경,잠시라도 우리
56,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
57,Spicy,aespa,MY WORLD - The 3rd Mini Album
58,Discord,QWER,1st Single Album 'Harmony from Discord'
59,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
60,GODS,NewJeans,2023 리그 오브 레전드 월드 챔피언십 주제곡
61,OMG,NewJeans,NewJeans 'OMG'
62,Kitsch,IVE (아이브),I've IVE
63,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
64,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”)
65,Dynamite,방탄소년단,Dynamite (DayTime Version)
66,심(心),DK(디셈버),심(心)
67,취중고백,김민석,취중고백
68,봄날,방탄소년단,YOU NEVER WALK ALONE
69,Bubble,STAYC(스테이씨),TEENFRESH
70,I Don't Think That I Like Her,Charlie Puth,CHARLIE
71,사랑할 수밖에,볼빨간사춘기,Merry Go Round
72,물론,허각,물론
73,LOVE DIVE,IVE (아이브),LOVE DIVE
74,여섯 번째 여름,PLAVE,ASTERUM : The Shape of Things to Come
75,주저하는 연인들을 위해,잔나비,전설
76,I Love My Body,화사 (HWASA),I Love My Body
77,After LIKE,IVE (아이브),After LIKE
78,3D (feat. Jack Harlow),정국,3D (feat. Jack Harlow)
79,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈)
80,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
81,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
82,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
83,해요 (2022),#안녕,해요 (2022)
84,Yes or No,정국,GOLDEN
85,Butter,방탄소년단,Butter
86,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
87,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
88,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
89,나에게 그대만이,탑현,나에게 그대만이
90,입술 (Feat. 10CM),헤이즈 (Heize),Last Winter
91,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
92,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2
93,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬
94,Hate You,정국,GOLDEN
95,사랑..그게 뭔데,지아,사랑..그게 뭔데
96,Dear. PLLI,PLAVE,ASTERUM : The Shape of Things to Come
97,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
98,Summer (Feat. BE’O (비오)),Paul Blanco,Summer
99,기다릴게,PLAVE,ASTERUM
100,I Just Love Ya,PLAVE,ASTERUM : The Shape of Things to Come
